Country,GDP_1970,GDP_1980,GDP_1990,GDP_2000,GDP_2010,GDP_2015,GDC_1970,GDC_1980,GDC_1990,GDC_2000,GDC_2010,GDC_2017,PPP_1990,PPP_2000,PPP_2010,PPP_2017,Debt_2017,latitude,longitude
United States,1.076,2.865,5.98,10.285,14.964,19.362129,5246.88,12597.67,23954.48,36449.86,48373.88,59495,23954.48,36449.86,48373.88,57466.79,106.71,39.218786,-99.163012
China,0.092,0.306,0.394,1.211,6.101,11.937562,113,312,348,959,4561,8583,1108.48,3687.72,12476,23572.12,65.68,35.138199,102.937676
Japan,0.2150218,1.0997,3.14,4.8875,5.7001,4.8844,2027.07,9416.63,25417.28,38532.04,44507.68,38550,19454.42,26795.21,34996.32,41469.85,237.918,36.136761,138.284021
Germany,0.2150218,0.9466954,1.765,1.95,3.4171,3.651871,2750.72,12092.38,22219.57,23718.75,41785.56,44184,19421.77,27277.11,39263.19,48729.59,81.964,50.266347,10.178319
France,0.1489489,0.703525,1.35,1.4,2.2,2.574807,2862.47,12712.6,21795.24,22465.64,40703.34,39673,17640.66,26192.65,36026.98,41466.27,90.291,46.16572,2.582436
United Kingdom,0.1306719,0.5649477,1.0932,1.6354,2.4297,2.565051,2347.54,10032.06,19095.47,27769.93,38709.91,38847,16739.15,26303.73,35740.74,42608.92,84.86,53.514318,-1.958819
India,0.0615898,0.1838399,0.3166973,0.4621458,1.6566,2.439008,111.26,263.84,363.96,438.86,1345.77,1852,1134.22,1977.65,4315.6,6572.34,41.11,21.172639,78.239114
Brazil,0.042328,0.235025,0.461952,0.655421,2.209,2.080916,444.03,1939.79,3093.04,3739.12,11224.15,10019,6686.08,9012.76,14244.98,15127.81,71.218,-10.363225,-50.641518
Italy,0.1130213,0.4756825,1.1773,1.1418,2.1251,1.921139,2099.91,8429.02,20757.09,20051.24,35849.37,31618,18546.23,27006.4,35075.75,38160.67,126.978,42.744125,12.744688
Canada,0.0878961,0.2738538,0.5939296,0.7422934,1.6135,1.640385,4121.93,11135.44,21371.29,24124.17,47447.48,44773,20107.83,29185.36,40027.24,44025.18,86.515,56.199838,-103.20253
South Korea,0.0089992,0.0649808,0.2793494,0.5616331,1.0945,1.529743,279.13,1704.47,6516.31,11947.58,22086.95,29730,8276.03,18083.08,30376.87,35750.77,33.668,36.509572,127.937238
Russia,0.4334,1.212,2.1,1.425,1.638463,1.469341,0,0,3485.11,1771.59,10674.99,10248,8012.8,6825.41,20497.93,23162.63,10.877,57.553959,58.807308
Australia,0.0413047,0.1498875,0.3114259,0.4154462,1.1429,1.39015,3302.53,10201.98,18249.29,21690.92,51874.08,56135,17373.77,26406.13,39191.04,46789.93,34.258,-24.373556,134.107053
Spain,0.0408817,0.2321346,0.5351012,0.5954026,1.4316,1.30717,1209,6191.71,13767.38,14676.71,30736,28212,13626.45,21517.33,31984.16,36309.84,97.2,40.160809,-3.443456
Mexico,0.0355417,0.1943568,0.2627098,0.683648,1.0511,1.142453,683.1,2802.11,3077.75,6720.9,8959.58,9249,6037,10428.99,14764.81,17861.57,43.519,23.521396,-102.148772
