,Depen_2016,Depen_2010,Depen_2000,Depen_1990,Depen_1980,Depen_1970,Birth_2016,Birth_2010,Birth_2000,Birth_1990,Birth_1980,Birth_1970,Death_2016,Death_2010,Death_2000,Death_1990,Death_1980,Death_1970,Pop_2016,Pop_2010,Pop_2000,Pop_1990,Pop_1980,Pop_1970,latitude,longitude
United States,0.5154,0.4873,0.5055,0.5179,0.5165,0.6114,12.4,13,14.4,16.7,15.9,18.4,8.2,8,8.5,8.6,8.8,9.5,323.1275,309.3482,282.1624,249.623,227.225,205.052,-100.5,39.9
China,0.3751,0.3452,0.4645,0.5194,0.686,0.7965,11.9,12.9,11.5,13.9,13.4,16.2,7.1,7.11,6.45,6.67,6.34,7.6,1378.7,1337.7,1262.6,1135.2,981.235,818.315,100.5,34.7
Japan,0.6573,0.5682,0.4664,0.434,0.4838,0.4525,7.9,8.5,9.4,10,13.5,18.7,10.2,9.5,7.7,6.7,6.1,6.9,126.9945,128.07,126.843,123.537,116.782,104.345,138.6,36.3
Germany,0.5219,0.5181,0.4617,0.4451,0.5219,0.5867,9,8.3,9.3,11.4,11.1,13.4,11.3,10.5,10.2,11.6,12.2,12.5,82.6677,81.7769,82.2115,79.433,78.2886,78.1693,10.2,50.7
France,0.6105,0.5499,0.5359,0.5124,0.563,0.6021,12,12.9,13.3,13.4,14,17,9,8.5,8.9,9.3,10.2,10.8,66.8961,65.0275,60.9125,58.5128,55.3408,52.0351,2,46.3
United Kingdom,0.557,0.5122,0.5355,0.5315,0.5618,0.5922,11.9,12.9,11.5,13.9,13.4,16.2,9.3,8.9,10.3,11.2,11.7,11.8,65.6372,62.7664,58.8925,57.2476,56.3142,55.6633,-1.5,53
India,0.5186,0.5627,0.6431,0.7171,0.7506,0.7911,19.66,21.6,26.46,31.5,36.1,39.15,7.31,7.61,8.68,10.86,13.28,17.22,1324.2,1231,1053.1,870.1335,696.7835,553.5785,78.2,21.6
Brazil,0.444,0.4718,0.5321,0.6499,0.7268,0.8491,14.51,15.59,20.89,24.27,32.15,35.12,6.16,5.97,6.01,7.18,8.67,10.08,207.6529,196.7963,175.2876,149.3521,121.1598,95.3268,-51,-12.5
Italy,0.5709,0.5259,0.4796,0.4551,0.5448,0.5561,8,9.5,9.5,10,11.3,16.7,10.7,9.9,9.8,9.6,9.8,9.7,60.6006,59.2774,56.9421,56.7192,56.4339,53.8219,13,42.7
Canada,0.4821,0.4414,0.4645,0.4691,0.474,0.6159,10.9,11.1,10.9,15,15.4,17.4,7.5,7.1,7.1,7.3,7.1,7.3,36.2864,34.0053,30.7697,27.791,24.593,21.324,-103.4,57
South Korea,0.3759,0.3761,0.3946,0.4412,0.6072,0.8331,8.6,9.4,13.3,15.2,22.6,31.2,5.4,5.1,5.2,5.6,7.3,8,51.2457,49.5541,47.0081,42.8693,38.1238,32.2408,128,36.6
Russia,0.4459,0.3885,0.4427,0.4972,0.4673,0.5136,13.3,12.5,8.7,13.4,15.99,14.67,13,14.2,15.3,11.2,11,8.85,144.3424,142.8494,146.5966,148.292,139.01,130.404,44.3,57
Australia,0.5173,0.4816,0.4969,0.4954,0.5355,0.5941,12.7,13.7,13,15.4,15.3,20.6,6.6,6.5,6.7,7,7.3,9,24.1272,22.0318,19.153,17.0651,14.692,12.507,134.3,-24.2
Spain,0.511,0.4655,0.4579,0.5005,0.5862,0.6055,9,10.4,9.8,10.3,15.2,19.5,9,8.2,8.9,8.6,7.7,8.3,46.444,46.5769,40.5679,38.8673,37.4912,33.8145,-3.6,40.1
Mexico,0.5114,0.5589,0.6478,0.7614,0.9648,1.0101,18.47,20.04,24.25,28.69,34.44,44.08,4.81,4.68,4.64,5.4,6.82,9.84,127.5404,117.3189,101.7197,85.3579,69.3609,52.0299,-101,20.8
